granule,containerinstancearn,job_stopped,logstream
S2A_MSIL1C_20200227T141731_N0209_R010_T20KNG_20200227T175603,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/261717ee981342acb49122ca96b32809,2021-04-06 18:33:53.026,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/15d4d97a695e4ffba29d0d21f6544f8d
S2A_MSIL1C_20200515T081611_N0209_R121_T34LGJ_20200515T121030,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/a0d982540cbb4f3783a2777951ee4d8f,2021-04-06 18:37:00.809,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/6cf1a57dd81b4775a2a83de49147f59e
S2A_MSIL1C_20200409T025541_N0209_R032_T49QGF_20200409T074325,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/a681cfc8c902477a9ecfb660d6b151d5,2021-04-06 18:37:20.929,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/ccb440affcc243b396c560550e80127f
S2A_MSIL1C_20200723T103031_N0209_R108_T32UMA_20200723T131350,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/72148b9ab0094261a61fc16f2d69eefa,2021-04-06 18:37:35.559,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/ea764beed3a747baaa5d72a2e1faa826
S2B_MSIL1C_20200423T100549_N0209_R022_T32TPR_20200423T135558,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/0fe11609745d44c2ba1dc1f07a0debce,2021-04-06 18:37:53.451,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/8060a62a31184ecba4c3fe672c1affc9
S2A_MSIL1C_20200417T141741_N0209_R010_T20KNG_20200417T160102,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/216fb77581bc417c9f6f2534326283c6,2021-04-06 18:38:06.201,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/207df5812a484b5eb005b29ce86afc0a
S2B_MSIL1C_20200114T083219_N0208_R021_T35NLA_20200114T104959,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/8b77dad4034e4358889c08e19a635e3c,2021-04-06 18:38:25.645,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/c532e592c1db4b77b6bada207672d792
S2B_MSIL1C_20200423T100549_N0209_R022_T33UVR_20200423T135558,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/dd944e44bf6247b99c76c40a4ebf7988,2021-04-06 18:38:27.372,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/98aa3fdd279a48af829027895dea7ab0
S2B_MSIL1C_20200426T033529_N0209_R061_T47PPR_20200426T074305,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/52b020c244334c78abe97483806c4bad,2021-04-06 18:38:32.833,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/254508693a0f473ca4ec53a708e28314
S2B_MSIL1C_20200922T154859_N0209_R054_T18SUJ_20200922T193855,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/e5b52e70eccb41299ec3ed49bca20b27,2021-04-06 18:38:36.271,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/eff7088dd73b4847b13dc998d6c56de4
