granule,exit_code,container,job_stopped,logstream
S2A_MSIL1C_20200710T001611_N0209_R059_T01WDS_20200710T022148,1,arn:aws:ecs:us-west-2:018923174646:container-instance/9a9f9476-0be5-482d-b05a-2f961f3ca08f,2020-07-28 22:42:39.555,SentinelTaskBatchJobDE3-581008467128b6c/default/fe64a81c-6c63-4ddb-837d-30e08ba21596
S2A_MSIL1C_20200710T001611_N0209_R059_T58VFP_20200710T022148,1,arn:aws:ecs:us-west-2:018923174646:container-instance/657a1f40-5324-44af-9695-475026cbcfc1,2020-07-28 22:58:08.786,SentinelTaskBatchJobDE3-581008467128b6c/default/13e22cee-744c-485d-9cad-939ac75dc6e5
S2A_MSIL1C_20200710T003711_N0209_R059_T54JYP_20200710T022631,1,arn:aws:ecs:us-west-2:018923174646:container-instance/7abd3ab7-1888-42c0-9a8e-d1e2b288884e,2020-07-28 22:56:57.954,SentinelTaskBatchJobDE3-581008467128b6c/default/3b20fbc2-8490-4c9d-bfba-df690308bd19
S2A_MSIL1C_20200710T003711_N0209_R059_T54KYA_20200710T022631,1,arn:aws:ecs:us-west-2:018923174646:container-instance/a59e3bcf-3a0b-441e-89be-3cce2a1cbac1,2020-07-28 23:01:42.543,SentinelTaskBatchJobDE3-581008467128b6c/default/874db834-b641-4161-b918-aea60a759673
S2A_MSIL1C_20200710T003711_N0209_R059_T55LEJ_20200710T022631,1,arn:aws:ecs:us-west-2:018923174646:container-instance/3716951f-b8ed-4534-b488-73592261b0d1,2020-07-28 22:59:57.043,SentinelTaskBatchJobDE3-581008467128b6c/default/2299cfe1-6786-4e23-9e4c-3ebfbeb5c028
S2A_MSIL1C_20200710T003711_N0209_R059_T55LEK_20200710T022631,1,arn:aws:ecs:us-west-2:018923174646:container-instance/2446271e-81f0-48b8-bab9-36789756049f,2020-07-28 23:01:25.575,SentinelTaskBatchJobDE3-581008467128b6c/default/d224c105-b5e7-4183-839e-fd0cfc121d89
S2A_MSIL1C_20200710T003711_N0209_R059_T55LEL_20200710T022631,1,arn:aws:ecs:us-west-2:018923174646:container-instance/4c739afb-0c20-4a05-b0a9-05a9518df131,2020-07-28 23:05:54.935,SentinelTaskBatchJobDE3-581008467128b6c/default/3f9916c4-8062-42bc-a526-a4ed63187083
S2A_MSIL1C_20200710T003711_N0209_R059_T55MCQ_20200710T022631,1,arn:aws:ecs:us-west-2:018923174646:container-instance/d3c9f5b5-4703-47bc-83ed-8a31e6806e17,2020-07-28 22:57:26.927,SentinelTaskBatchJobDE3-581008467128b6c/default/5a437946-5302-41e4-805a-f42dcfa0c917
S2A_MSIL1C_20200710T003711_N0209_R059_T55MEP_20200710T022631,1,arn:aws:ecs:us-west-2:018923174646:container-instance/c1cd2bf2-a8fe-47ac-8018-e16546ed2aaa,2020-07-28 23:05:08.698,SentinelTaskBatchJobDE3-581008467128b6c/default/c436fe51-0256-4e0f-95e3-ced4911dce34
S2A_MSIL1C_20200710T015701_N0209_R060_T52SEA_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/d3c9f5b5-4703-47bc-83ed-8a31e6806e17,2020-07-28 23:02:30.778,SentinelTaskBatchJobDE3-581008467128b6c/default/404d8998-e5db-49e3-8df6-b1a9f440a381
S2A_MSIL1C_20200710T015701_N0209_R060_T53SKT_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/c1cd2bf2-a8fe-47ac-8018-e16546ed2aaa,2020-07-28 23:04:54.587,SentinelTaskBatchJobDE3-581008467128b6c/default/42f5c541-a259-4723-8997-9b179a3b7a9e
S2A_MSIL1C_20200710T015701_N0209_R060_T53SLT_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/36bfff74-e807-4b33-b322-a21cd17f5c10,2020-07-28 22:57:09.541,SentinelTaskBatchJobDE3-581008467128b6c/default/84d25243-3403-4411-b347-90cf3b86bb17
S2A_MSIL1C_20200710T015701_N0209_R060_T53TMH_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/9a9f9476-0be5-482d-b05a-2f961f3ca08f,2020-07-28 23:10:55.629,SentinelTaskBatchJobDE3-581008467128b6c/default/ad635041-eeb0-4958-8c20-cc10aaeacfd2
S2A_MSIL1C_20200710T015701_N0209_R060_T54UUE_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/41a45b45-23e2-47f6-a6a0-69cdf1095cfa,2020-07-28 23:12:16.333,SentinelTaskBatchJobDE3-581008467128b6c/default/a10e6893-dda1-40b8-b4cb-17c3a2e288bc
S2A_MSIL1C_20200710T015701_N0209_R060_T54UWF_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/2446271e-81f0-48b8-bab9-36789756049f,2020-07-28 23:06:28.831,SentinelTaskBatchJobDE3-581008467128b6c/default/94f7fa9a-522f-440a-a740-0f4b2b959852
S2A_MSIL1C_20200710T015701_N0209_R060_T54VXQ_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/ee851ab9-5a7a-4f83-810a-1b9d4926f804,2020-07-28 23:23:09.89,SentinelTaskBatchJobDE3-581008467128b6c/default/546cf376-66ec-4a61-8d29-9e3c182e5020
S2A_MSIL1C_20200710T015701_N0209_R060_T54WXA_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/9a9f9476-0be5-482d-b05a-2f961f3ca08f,2020-07-28 23:07:47.58,SentinelTaskBatchJobDE3-581008467128b6c/default/a3a66f47-1f60-4fdb-a1b4-00be5fe57428
S2A_MSIL1C_20200710T015701_N0209_R060_T55WET_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/22ede9d7-7bc1-462a-9ec4-2b692af30bc7,2020-07-28 23:18:32.462,SentinelTaskBatchJobDE3-581008467128b6c/default/dea73cbb-2afb-4f3a-94e1-f9f5559f9473
S2A_MSIL1C_20200710T015701_N0209_R060_T56WMT_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/07b02cb1-7323-4f44-9f0d-9b1f88b93a22,2020-07-28 23:10:28.654,SentinelTaskBatchJobDE3-581008467128b6c/default/5bd956eb-7079-4bfe-87e9-1b43b80071fb
S2A_MSIL1C_20200710T015701_N0209_R060_T56WPB_20200710T040520,1,arn:aws:ecs:us-west-2:018923174646:container-instance/76f04fe6-1798-40de-b458-47df35a4ac90,2020-07-28 23:11:16.007,SentinelTaskBatchJobDE3-581008467128b6c/default/ed412761-acf4-4ada-a531-eb2f83e54729
S2A_MSIL1C_20200710T021351_N0209_R060_T50JMN_20200710T052655,1,arn:aws:ecs:us-west-2:018923174646:container-instance/ab1084e5-aaeb-45d9-b63c-cef4b6fd7cdf,2020-07-28 23:23:51.791,SentinelTaskBatchJobDE3-581008467128b6c/default/a17814c7-6fb3-4d81-9e8a-7b479bfe9fb8
S2A_MSIL1C_20200710T021351_N0209_R060_T50JMR_20200710T052655,1,arn:aws:ecs:us-west-2:018923174646:container-instance/985e01c5-d20f-40c7-bd54-e460a5885151,2020-07-28 23:27:24.621,SentinelTaskBatchJobDE3-581008467128b6c/default/3b651f2d-2a14-4cb4-8c43-d028b333f005
"S2A_MSIL1C_20200710T021351_N0209_R060_T50KMA_20200710T034508,S2A_MSIL1C_20200710T021351_N0209_R060_T50KMA_20200710T052655",1,arn:aws:ecs:us-west-2:018923174646:container-instance/52db3929-b83d-4259-9332-d97214ddfe76,2020-07-28 23:24:29.877,SentinelTaskBatchJobDE3-581008467128b6c/default/bb5f24cf-37ef-45f6-ae3d-c8728526a49c
"S2A_MSIL1C_20200710T021351_N0209_R060_T50KMA_20200710T034508,S2A_MSIL1C_20200710T021351_N0209_R060_T50KMA_20200710T052655",1,arn:aws:ecs:us-west-2:018923174646:container-instance/eb031543-fbc5-4c6d-946e-93103cc01fd8,2020-07-28 23:16:29.066,SentinelTaskBatchJobDE3-581008467128b6c/default/37d5850c-c10b-466d-b43e-506a310e31f0
"S2A_MSIL1C_20200710T021351_N0209_R060_T50KMB_20200710T034508,S2A_MSIL1C_20200710T021351_N0209_R060_T50KMB_20200710T052655",1,arn:aws:ecs:us-west-2:018923174646:container-instance/0661c529-e87e-49e6-9692-57b68cddab10,2020-07-28 23:26:06.301,SentinelTaskBatchJobDE3-581008467128b6c/default/53a01619-55f2-4421-b36f-8df464b97ef9
