granule,containerinstancearn,job_stopped,logstream
S2A_MSIL1C_20200105T103421_N0208_R108_T31TFJ_20200105T111147,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/24c4101dadd14c7ea3d9da37e788bd51,2021-03-31 21:49:56.92,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/f9a85b3f31414c65bb01a2408b01c7a0
S2B_MSIL1C_20200821T100559_N0209_R022_T33UVR_20200821T122428,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/1e1621557efb4badabaab2231f406b6d,2021-03-31 21:52:01.333,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/c2afd51e3747446b84c7c5396199f964
S2A_MSIL1C_20200817T000251_N0209_R030_T56JMP_20200817T012241,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/50a170c4ca9640e89ae915c9564ef0ad,2021-03-31 21:52:44.94,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/de191974c26d4438acaf2db116cb0dc4
S2A_MSIL1C_20200220T091011_N0209_R050_T33MTP_20200220T105256,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/e82f61ff801f4693b3d05f8c6a9e18b2,2021-03-31 21:52:56.993,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/0a568062e0bf4acbad1f570a8e255d44
S2B_MSIL1C_20200115T132229_N0208_R038_T23LMF_20200115T145553,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/d17ea31e7e30471b8d7a544674995853,2021-03-31 21:53:53.594,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/1a37fa6db41447a387dac347cfaf07d1
S2A_MSIL1C_20200228T165231_N0209_R026_T15SWU_20200228T201855,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/05bfcdd318784281b6eec9c65bd5244a,2021-03-31 21:53:57.36,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/d70947646a2d4c01a498091b35eb5401
S2A_MSIL1C_20200520T105031_N0209_R051_T31UDQ_20200520T125512,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/735dd4465c494f6cb99cf3014c1caf86,2021-03-31 21:54:18.655,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/93780bd4aa5f48a0b6d4abaa2506d3c8
S2B_MSIL1C_20200414T161829_N0209_R040_T16SFD_20200414T195712,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/a95334090d964430bd2b9461d583fd28,2021-03-31 21:54:18.984,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/65cf5bb0cec2461da0572d70bef5f2b3
S2B_MSIL1C_20200627T173909_N0209_R098_T13TFJ_20200627T210124,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/47b00980069f489484eec393e02db06d,2021-03-31 21:54:21.5,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/d8e7b4971b5b412fbd0f0a93fef9f1cf
S2A_MSIL1C_20200616T153911_N0209_R011_T18TYN_20200616T192444,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/f4a185f628b240509b96b2db51f66868,2021-03-31 21:54:49.408,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/98dfa8eb4e014f54ad0d58e898d72f97
S2B_MSIL1C_20200703T175919_N0209_R041_T13UER_20200703T195926,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/deae95d43b544af3b4650bcc13daad46,2021-03-31 21:54:51.48,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/d21d348003e84bf695866215b6be6b5f
S2B_MSIL1C_20200524T025549_N0209_R032_T52VEP_20200524T055151,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/b34b801f385e4395b75a9aa98bfc3bde,2021-03-31 21:54:55.099,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/ec91220114614a5dbf0d31a00b2b50ef
S2B_MSIL1C_20200922T154859_N0209_R054_T18SUJ_20200922T193855,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/8538085561234f0c8dd030ed4e721c87,2021-03-31 21:55:51.486,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/7fd6380655bb4c4ebfccda747c869d5e
S2B_MSIL1C_20200913T140059_N0209_R067_T21LXG_20200913T155435,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/97f5f9c0a379430b9cbc6ef502079d71,2021-03-31 21:56:08.645,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/79c200d10d3840ddaa45807ba904e92d
S2B_MSIL1C_20200403T082559_N0209_R021_T36RUV_20200403T121529,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/97f5f9c0a379430b9cbc6ef502079d71,2021-03-31 21:56:19.365,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/cae4948b34c8495abbd5a3d8fa8206d9
S2B_MSIL1C_20200219T084919_N0209_R107_T36UWU_20200219T111120,arn:aws:ecs:us-west-2:611670965994:container-instance/BatchComputeEnvironment-2c6ee744a3d7487_Batch_a6960493-0b76-330d-afff-bafb172b3bea/2b8df4dba2744344acb6da63385a7fc0,2021-03-31 22:00:16.121,SentinelTaskBatchJobDE3-6aa27cbe10e8cab/default/1bb1da2cc9494aa8a0d313863c70126c
